tconst	averageRating	numVotes
tt0001107	6.0	124
tt0001111	4.2	21
tt0001112	3.8	59
tt0001113	4.4	20
tt0001115	3.8	24
tt0001116	3.9	21
tt0001117	5.9	19
tt0001118	5.4	230
tt0001120	5.5	272
tt0001121	4.7	58
tt0001122	4.4	22
tt0001129	5.1	72
tt0001135	4.8	61
tt0001139	5.4	45
tt0001143	5.2	62
tt0001144	5.3	54
tt0001145	5.8	12
tt0001150	5.1	146
tt0001151	4.3	61
tt0001152	5.6	91
tt0001153	5.1	59
tt0001156	5.0	57
tt0001159	5.2	32
tt0001161	5.1	59
tt0001165	5.0	41
tt0001175	5.4	47
tt0001176	5.2	41
tt0001177	6.2	23
tt0001184	3.1	25
tt0001185	7.1	23
tt0001186	5.2	73
tt0001187	5.4	42
tt0001190	6.6	15
tt0001195	5.0	22
tt0001196	4.4	14
tt0001200	5.2	48
tt0001202	5.7	41
tt0001206	6.8	47
tt0001207	5.4	160
tt0001211	5.4	55
tt0001214	6.6	10
tt0001216	5.6	41
tt0001217	5.6	129
tt0001218	5.2	148
tt0001223	6.4	5032
tt0001227	5.8	296
tt0001230	5.1	33
tt0001233	7.6	23
tt0001234	6.1	45
tt0001235	5.2	71
tt0001236	5.8	44
tt0001237	4.8	87
tt0001240	3.8	24
tt0001241	4.0	21
tt0001242	5.1	20
tt0001245	5.6	92
tt0001251	5.0	22
tt0001254	6.0	25
tt0001256	5.8	629
tt0001258	5.7	188
tt0001262	5.5	37
tt0001264	7.1	84
tt0001265	6.3	597
tt0001277	4.1	28
tt0001280	5.2	40
tt0001282	6.6	38
tt0001283	6.1	30
tt0001284	4.9	58
tt0001285	5.2	67
tt0001292	5.2	77
tt0001294	7.2	17
tt0001299	3.8	16
tt0001303	7.1	19
tt0001306	4.8	13
tt0001307	6.8	18
tt0001310	5.3	38
tt0001313	5.5	20
tt0001314	5.8	172
tt0001315	5.7	28
tt0001321	5.2	75
tt0001326	5.7	74
tt0001330	5.5	48
tt0001332	5.7	43
tt0001333	5.8	72
tt0001334	6.3	23
tt0001336	6.3	24
tt0001337	5.7	70
tt0001338	4.7	19
tt0001340	5.1	118
tt0001348	4.0	13
tt0001351	6.0	82
tt0001353	5.0	15
tt0001358	3.9	32
tt0001370	4.7	26
tt0001371	5.8	475
tt0001377	5.0	33
tt0001378	5.9	246
tt0001380	3.6	13
tt0001381	5.6	48
tt0001385	5.4	98
tt0001386	4.3	21
tt0001387	5.9	37
tt0001388	5.7	107
tt0001396	4.0	20
tt0001399	6.0	17
tt0001400	7.4	19
tt0001401	6.0	44
tt0001407	7.0	27
tt0001410	5.4	26
tt0001414	5.4	90
tt0001423	4.1	17
tt0001428	5.3	73
tt0001431	6.4	963
tt0001432	5.8	53
tt0001439	5.8	300
tt0001440	3.6	29
tt0001443	7.4	18
tt0001444	3.1	38
tt0001446	6.4	19
tt0001452	5.4	257
tt0001454	5.6	50
tt0001456	8.5	21
tt0001458	5.8	267
tt0001459	5.5	72
tt0001460	4.0	19
tt0001461	5.9	45
tt0001463	5.7	1765
tt0001469	5.9	170
tt0001471	3.4	11
tt0001475	7.4	24
tt0001481	5.5	52
tt0001482	5.2	77
tt0001487	6.1	10
tt0001488	6.3	612
tt0001490	5.2	30
tt0001496	4.2	75
tt0001497	7.7	13
tt0001498	8.1	18
tt0001499	5.6	399
tt0001500	5.0	9
tt0001508	5.5	52
tt0001510	5.6	73
tt0001517	6.2	45
tt0001518	5.6	31
tt0001519	5.1	45
tt0001521	5.2	14
tt0001527	7.7	3420
tt0001529	4.5	27
tt0001530	5.9	21
tt0001531	4.6	17
tt0001532	5.1	18
tt0001542	4.4	35
tt0001544	6.0	913
tt0001545	6.1	167
tt0001550	5.4	60
tt0001551	5.2	102
tt0001552	5.8	41
tt0001557	4.9	126
tt0001560	4.5	29
tt0001563	5.8	57
tt0001564	4.6	31
tt0001571	5.6	30
tt0001577	6.1	34
tt0001582	5.3	34
tt0001583	5.3	19
tt0001584	5.2	32
tt0001585	7.8	15
tt0001586	4.4	21
tt0001587	4.2	31
tt0001588	5.4	229
tt0001590	5.2	13
tt0001592	5.8	32
tt0001593	6.2	434
tt0001594	6.3	393
tt0001598	5.9	57
tt0001607	5.5	90
tt0001613	5.3	181
tt0001614	6.5	44
tt0001615	5.4	44
tt0001618	6.0	28
tt0001624	5.0	52
tt0001630	6.1	55
tt0001632	6.4	48
tt0001638	6.8	12
tt0001642	5.1	46
tt0001648	4.2	9
tt0001654	5.6	52
tt0001655	4.9	20
tt0001658	5.9	19
tt0001659	7.8	21
tt0001660	5.6	235
tt0001668	4.2	38
tt0001671	5.3	43
tt0001680	5.0	679
tt0001681	4.7	332
tt0001692	5.2	24
tt0001693	7.1	26
tt0001695	4.8	68
tt0001696	6.5	15
tt0001701	4.7	94
tt0001706	5.0	20
tt0001709	5.6	52
tt0001712	4.6	9
tt0001715	3.9	11
tt0001717	3.4	26
tt0001724	5.7	315
tt0001728	6.4	19
tt0001732	6.0	34
tt0001733	5.8	28
tt0001737	7.1	1943
tt0001738	6.4	66
tt0001740	6.5	1419
tt0001741	5.2	27
tt0001742	6.1	16
tt0001747	5.4	32
tt0001753	5.9	20
tt0001761	5.4	7
tt0001762	4.5	87
tt0001769	5.5	99
tt0001771	5.5	184
tt0001772	6.0	25
tt0001776	6.4	272
tt0001777	5.7	25
tt0001779	7.2	19
tt0001787	8.1	17
tt0001789	6.2	322
tt0001790	5.9	61
tt0001791	5.7	14
tt0001799	4.8	18
tt0001803	2.8	15
tt0001812	5.5	16
tt0001815	6.7	36
tt0001817	5.1	95
tt0001818	7.0	13
tt0001832	5.8	76
tt0001835	8.2	12
tt0001840	5.1	48
tt0001845	5.1	12
tt0001848	4.7	50
tt0001852	4.1	13
tt0001856	4.8	60
tt0001857	5.6	246
tt0001862	5.3	55
tt0001865	5.8	100
tt0001868	5.4	14
tt0001871	4.9	65
tt0001872	7.5	59
tt0001874	7.9	15
tt0001877	5.2	84
tt0001885	6.4	19
tt0001886	5.2	15
tt0001889	3.7	17
tt0001892	5.8	285
tt0001896	5.2	91
tt0001898	5.6	13
tt0001910	5.3	81
tt0001911	3.6	26
tt0001913	5.4	261
tt0001915	5.4	162
tt0001921	6.4	23
tt0001923	7.1	40
tt0001924	7.0	13
tt0001925	5.0	58
tt0001926	5.3	18
tt0001927	6.6	15
tt0001928	4.5	59
tt0001941	5.1	106
tt0001949	5.6	35
tt0001956	6.1	19
tt0001957	5.0	66
tt0001963	5.6	184
tt0001964	5.8	116
tt0001967	6.2	15
tt0001969	7.0	15
tt0001973	6.0	317
tt0001978	5.9	70
tt0001987	6.6	26
tt0001989	7.2	18
tt0001993	4.1	22
tt0001998	4.5	45
tt0002004	5.6	22
tt0002020	4.7	173
tt0002022	6.0	14
tt0002026	4.5	17
tt0002029	6.0	78
tt0002031	4.5	26
tt0002033	5.1	48
tt0002034	5.5	78
tt0002041	4.8	74
tt0002045	4.3	100
tt0002046	4.3	13
tt0002054	5.8	260
tt0002056	6.5	272
tt0002064	5.1	95
tt0002065	6.5	65
tt0002066	3.9	105
tt0002068	5.5	54
tt0002070	5.1	57
tt0002071	4.2	21
tt0002078	5.5	70
tt0002082	6.0	437
tt0002083	6.1	361
tt0002093	5.5	43
tt0002095	6.0	40
tt0002096	4.2	21
tt0002097	4.2	38
tt0002098	5.9	165
tt0002101	5.1	650
tt0002107	4.6	26
tt0002113	6.8	1317
tt0002114	4.7	21
tt0002121	5.6	52
tt0002122	6.2	352
tt0002124	5.1	416
tt0002126	5.8	96
tt0002130	7.0	3877
tt0002132	5.8	26
tt0002133	5.7	241
tt0002136	5.6	124
tt0002139	5.7	25
tt0002143	6.0	898
tt0002144	5.4	22
tt0002145	9.0	15
tt0002151	4.8	36
tt0002152	5.3	11
tt0002153	5.9	87
tt0002159	4.6	49
tt0002160	6.2	154
tt0002162	4.8	92
tt0002167	4.4	28
tt0002172	5.5	37
tt0002176	5.8	347
tt0002177	6.1	96
tt0002179	3.8	43
tt0002181	6.1	273
tt0002186	6.4	157
tt0002187	5.4	14
tt0002190	6.1	445
tt0002196	4.8	23
tt0002197	5.5	340
tt0002198	6.1	31
tt0002199	5.8	686
tt0002200	6.1	104
tt0002202	4.8	18
tt0002203	5.0	70
tt0002206	5.4	24
tt0002208	6.7	1363
tt0002211	4.0	12
tt0002212	6.4	46
tt0002214	6.1	49
tt0002216	6.2	51
tt0002220	4.5	48
tt0002221	6.7	551
tt0002224	5.1	178
tt0002226	5.9	88
tt0002230	6.4	115
tt0002232	5.2	74
tt0002233	4.6	160
tt0002234	8.5	28
tt0002251	7.2	15
tt0002253	5.2	22
tt0002255	4.6	63
tt0002259	4.8	18
tt0002260	6.4	1443
tt0002261	6.0	40
tt0002262	5.4	14
tt0002266	7.8	16
tt0002268	5.6	16
tt0002273	5.4	43
tt0002277	7.0	42
tt0002278	5.3	49
tt0002280	4.9	60
tt0002281	6.1	418
tt0002282	6.1	68
tt0002287	6.0	16
tt0002290	5.2	74
tt0002293	4.2	21
tt0002295	7.7	16
tt0002300	6.2	21
tt0002302	6.0	74
tt0002303	5.6	218
tt0002305	7.9	34
tt0002309	8.6	23
tt0002318	5.9	66
tt0002320	3.8	21
tt0002325	5.2	11
tt0002329	5.0	39
tt0002330	5.2	23
tt0002332	5.2	47
tt0002337	5.8	17
tt0002340	5.7	63
tt0002342	5.6	126
tt0002349	5.4	26
tt0002350	6.4	381
tt0002354	6.1	218
tt0002355	5.8	82
tt0002357	6.0	275
tt0002369	6.2	74
tt0002370	6.0	19
tt0002371	6.3	27
tt0002374	6.2	20
tt0002375	5.2	15
tt0002380	5.3	30
tt0002381	6.6	2622
tt0002382	6.2	89
tt0002383	8.2	13
tt0002386	5.8	165
tt0002387	4.5	59
tt0002391	6.3	969
tt0002392	6.5	16
tt0002395	4.8	15
tt0002398	5.2	60
tt0002399	4.1	28
tt0002400	5.7	271
tt0002402	7.7	9
tt0002405	5.2	45
tt0002406	5.0	28
tt0002408	6.1	346
tt0002409	7.2	23
tt0002415	5.8	669
tt0002421	6.0	129
tt0002423	6.6	1087
tt0002429	6.2	188
tt0002431	5.0	15
tt0002434	9.0	14
tt0002437	9.0	14
tt0002440	4.1	34
tt0002441	5.8	36
tt0002443	4.6	22
tt0002445	6.1	502
tt0002449	6.4	73
tt0002451	8.5	25
tt0002452	6.4	281
tt0002461	5.7	343
tt0002465	5.3	86
